"","EPCI","Commune","Numéro d'immatriculation","Type de syndic : bénévole / professionnel / non connu","Identification du représentant légal  (raison sociale et le numéro SIRET du syndic professionnel ou Civilité/prénom/ nom du syndic bénévole ou coopératif)","Siret représentant légal (si existe)","Code APE","Commune du représentant légal","Mandat en cours dans la copropriété","Nom d’usage de la copropriété","Adresse de référence","Numéro et Voie (adresse de référence)","Code postal (adresse de référence)","Commune (adresse de référence)","Adresse complémentaire 1","Adresse complémentaire 2","Adresse complémentaire 3","Nombre d'adresses complémentaires","long","lat","Date du règlement de copropriété","Résidence service","Syndicat coopératif","Syndicat principal ou syndicat secondaire","Si secondaire, n° d’immatriculation du principal","Nombre d’ASL auxquelles est rattaché le syndicat de copropriétaires","Nombre d’AFUL auxquelles est rattaché le syndicat de copropriétaires","Nombre d’Unions de syndicats auxquelles est rattaché le syndicat de copropriétaires","Nombre total de lots","Nombre total de lots à usage d’habitation, de bureaux ou de commerces","Nombre de lots à usage d’habitation","Nombre de lots de stationnement","Nombre d'arrêtés relevant du code de la santé publique en cours","Nombre d'arrêtés de péril sur les parties communes en cours","Nombre d'arrêtés sur les équipements communs en cours","Période de construction","nom_qp","code_qp"
"28",200046977,"69029","AA7575756","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","L'ARAMIS","11 av camille rousset 69500 Bron","11 av camille rousset","69500","Bron",NA,NA,NA,0,4.906536,45.735073,1969-09-22,"non","non","oui",NA,0,0,0,91,28,28,35,0,0,0,"DE_1961_A_1974",NA,NA
"29",200046977,"69266","AA8052425","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","URBAN SIDE","99 rte de genas 69100 Villeurbanne","99 rte de genas","69100","Villeurbanne","37 r arago 69100 Villeurbanne",NA,NA,1,4.88394,45.754353,2015-06-04,"non","non","oui",NA,0,0,0,131,62,62,69,0,0,0,"APRES_2011",NA,NA
"30",200046977,"69386","AA8192767","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","21 COURS VITTON","21 crs vitton 69006 Lyon","21 crs vitton","69006","Lyon",NA,NA,NA,0,4.851954,45.76951,1956-06-15,"non","non","oui",NA,0,0,0,18,13,13,0,0,0,0,"AVANT_1949",NA,NA
"31",200046977,"69384","AA8412629","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","7/9 RUE DUVIARD","9 r duviard 69004 Lyon","9 r duviard","69004","Lyon","7 r duviard 69004 Lyon",NA,NA,1,4.82797,45.775465,1965-09-29,"non","non","oui",NA,0,0,0,74,35,29,0,0,0,0,"DE_1961_A_1974",NA,NA
"32",200046977,"69387","AA8427320","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE GONCOURT","56 r jaboulay 69007 Lyon","56 r jaboulay","69007","Lyon",NA,NA,NA,0,4.841082,45.747141,1991-12-20,"non","non","oui",NA,0,0,0,97,38,38,37,0,0,0,"DE_1975_A_1993",NA,NA
"33",200046977,"69387","AA8432270","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","22 RUE CHEVREUL","22 r chevreul 69007 Lyon","22 r chevreul","69007","Lyon",NA,NA,NA,0,4.838563,45.749013,1957-08-09,"non","non","oui",NA,0,0,0,55,21,18,0,0,0,0,"DE_1949_A_1960",NA,NA
"34",200046977,"69388","AA8447872","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE JEAN JAURES","2 imp jean jaures 69008 Lyon","2 imp jean jaures","69008","Lyon",NA,NA,NA,0,4.882715,45.735201,1988-09-30,"non","non","oui",NA,0,0,0,15,8,8,0,0,0,0,"DE_1975_A_1993",NA,NA
"35",200046977,"69387","AA8450249","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE MONTESQUIEU","80 r montesquieu 69007 Lyon","80 r montesquieu","69007","Lyon",NA,NA,NA,0,4.844976,45.751258,1982-11-29,"non","non","oui",NA,0,0,0,42,26,24,0,0,0,0,"DE_1975_A_1993",NA,NA
"36",200046977,"69382","AA8464778","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE CENTURION","53 r delandine 69002 Lyon","53 r delandine","69002","Lyon","38 r ravat 69002 Lyon",NA,NA,1,4.824508,45.743424,1972-03-14,"non","non","oui",NA,0,0,0,118,35,31,44,0,0,0,"DE_1961_A_1974",NA,NA
"37",200046977,"69387","AA8473845","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LOUISE LABE","11 r montesquieu 69007 Lyon","11 r montesquieu","69007","Lyon",NA,NA,NA,0,4.840251,45.753836,1993-05-28,"non","non","oui",NA,0,0,0,101,78,75,22,0,0,0,"DE_1975_A_1993",NA,NA
"38",200046977,"69389","AA8477986","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","36 QUAI ARLOING","36 qu arloing 69009 Lyon","36 qu arloing","69009","Lyon",NA,NA,NA,0,4.81205,45.770404,2013-03-15,"non","non","oui",NA,0,0,0,13,12,10,0,0,0,0,"AVANT_1949",NA,NA
"39",200046977,"69388","AA8480444","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","ART ET LUMIERE","126 r marius berliet 69008 Lyon","126 r marius berliet","69008","Lyon","128 r marius berliet 69008 Lyon",NA,NA,1,4.867518,45.737965,2005-06-30,"non","non","oui",NA,1,0,0,106,56,56,50,0,0,0,"DE_2001_A_2010",NA,NA
"40",200046977,"69386","AA9118001","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","L'OREE DU PARC","52 r du lieutenant colonel prevost 69006 Lyon","52 r du lieutenant colonel prevost","69006","Lyon","23 r felix jacquier 69006 Lyon","18 r boileau 69006 Lyon","54 r du lieutenant colonel prevost 69006 Lyon",3,4.847513,45.773664,1981-11-26,"non","non","oui",NA,0,0,0,172,60,54,44,0,0,0,"DE_1975_A_1993",NA,NA
"41",200046977,"69386","AA9326166","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","28 BOULEVARD DES BROTTEAUX","28 bd des brotteaux 69006 Lyon","28 bd des brotteaux","69006","Lyon","25 r professeur weill 69006 Lyon",NA,NA,1,4.856796,45.768068,1973-01-01,"non","non","oui",NA,0,0,0,37,20,17,0,0,0,0,"AVANT_1949",NA,NA
"42",200046977,"69385","AA9363938","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LA NOISERAIE","106 r pierre valdo 69005 Lyon","106 r pierre valdo","69005","Lyon","19 r des noyers 69005 Lyon","120 r pierre valdo 69005 Lyon","118 r pierre valdo 69005 Lyon",8,4.78428,45.750575,1969-01-22,"non","non","oui",NA,0,0,0,151,151,151,0,0,0,0,"DE_1961_A_1974",NA,NA
"43",200046977,"69388","AA9378969","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","le van gogh","142 av des freres lumiere 69008 Lyon","142 av des freres lumiere","69008","Lyon","152 av des freres lumiere 69008 Lyon",NA,NA,1,4.87164,45.743723,1992-08-27,"non","non","oui",NA,1,0,0,206,86,82,101,0,0,0,"DE_1975_A_1993",NA,NA
"44",200046977,"69388","AA9389776","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE CEZANNE","144 av des freres lumiere 69008 Lyon","144 av des freres lumiere","69008","Lyon","144B av des freres lumiere 69008 Lyon",NA,NA,1,4.871302,45.743183,1995-07-17,"non","non","oui",NA,1,0,0,194,62,62,72,0,0,0,"DE_1994_A_2000",NA,NA
"45",200046977,"69388","AA9398504","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE GAUGUIN","146 av des freres lumiere 69008 Lyon","146 av des freres lumiere","69008","Lyon","148B av des freres lumiere 69008 Lyon",NA,NA,1,4.871173,45.742836,1997-07-22,"non","non","oui",NA,1,0,0,158,63,63,63,0,0,0,"DE_1994_A_2000",NA,NA
"46",200046977,"69388","AA9400151","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LES IMPRESSIONNISTES","148 av des freres lumiere 69008 Lyon","148 av des freres lumiere","69008","Lyon",NA,NA,NA,0,4.871348,45.742489,1997-10-23,"non","non","oui",NA,1,0,0,114,38,38,41,0,0,0,"DE_1994_A_2000",NA,NA
"47",200046977,"69382","AA9400987","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE VIGNON","36 r delandine 69002 Lyon","36 r delandine","69002","Lyon",NA,NA,NA,0,4.825209,45.744474,1999-10-31,"non","non","oui",NA,0,0,0,73,23,23,26,0,0,0,"DE_1994_A_2000",NA,NA
"48",200046977,"69384","AA9402702","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","51 RUE DELEUVRE","51 r deleuvre 69004 Lyon","51 r deleuvre","69004","Lyon",NA,NA,NA,0,4.825272,45.780077,2007-07-20,"non","non","oui",NA,0,0,0,42,18,18,24,0,0,0,"DE_2001_A_2010",NA,NA
"49",200046977,"69382","AB0854802","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","SDC 1 RUE JEAN FABRE","1 r jean fabre 69002 LYON","1 r jean fabre","69002","LYON",NA,NA,NA,0,4.832774,45.760132,1942-01-12,"non","non","oui",NA,0,0,0,48,20,16,0,0,0,0,"AVANT_1949",NA,NA
"50",200046977,"69244","AB1043561","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","257 AVENUE CHARLES DE GAULLE","257 av charles de gaulle 69160 Tassin-la-Demi-Lune","257 av charles de gaulle","69160","Tassin-la-Demi-Lune",NA,NA,NA,0,4.766345,45.75087,1983-12-14,"non","non","oui",NA,0,0,0,16,11,9,0,0,0,0,"DE_1975_A_1993",NA,NA
"51",200046977,"69387","AB1074822","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","CHATEAUBRIAND PLAZA BALCONS","20 r marie madeleine fourcade 69007 Lyon","20 r marie madeleine fourcade","69007","Lyon","22 r marie madeleine fourcade 69007 Lyon",NA,NA,1,4.839139,45.736721,2000-11-22,"non","non","oui",NA,0,0,0,243,80,80,81,0,0,0,"DE_1994_A_2000",NA,NA
"52",200046977,"69384","AB1553585","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","12 RUE CLAUDE JOSEPH BONNET","12 r claude joseph bonnet 69004 Lyon","12 r claude joseph bonnet","69004","Lyon",NA,NA,NA,0,4.824412,45.774346,1984-08-17,"non","non","oui",NA,0,0,0,21,8,8,0,0,0,0,"DE_1975_A_1993",NA,NA
"53",200046977,"69385","AB1560341","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE CLOS DE FOURVIERE","2 r pauline-marie jaricot 69005 Lyon","2 r pauline-marie jaricot","69005","Lyon","22 r pauline-marie jaricot 69005 Lyon","20 r pauline-marie jaricot 69005 Lyon","18 r pauline-marie jaricot 69005 Lyon",10,4.816287,45.760312,1981-12-18,"non","non","oui",NA,0,0,0,429,142,128,154,0,0,0,"DE_1975_A_1993",NA,NA
"54",200046977,"69383","AB1602341","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","33 AVENUE FELIX FAURE","33 av felix faure 69003 Lyon","33 av felix faure","69003","Lyon",NA,NA,NA,0,4.852263,45.752889,1929-04-18,"non","non","oui",NA,0,0,0,40,14,12,0,0,0,0,"AVANT_1949",NA,NA
"55",200046977,"69388","AB1626100","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","18 RUE JEAN PERREAL","18 r jean perreal 69008 Lyon","18 r jean perreal","69008","Lyon",NA,NA,NA,0,4.875278,45.74189,1991-05-24,"non","non","oui",NA,0,0,0,64,21,20,25,0,0,0,"DE_1975_A_1993",NA,NA
"56",200046977,"69383","AB1630300","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE KENSINGTON","2 r villon 69003 Lyon","2 r villon","69003","Lyon",NA,NA,NA,0,4.86786,45.748778,1990-04-24,"non","non","oui",NA,1,0,0,75,29,29,17,0,0,0,"DE_1975_A_1993",NA,NA
"57",200046977,"69383","AB1634021","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","L'ALHAMBRA","20 r saint-maximin 69003 Lyon","20 r saint-maximin","69003","Lyon",NA,NA,NA,0,4.866973,45.749057,1989-09-15,"non","non","oui",NA,1,0,0,153,41,41,70,0,0,0,"DE_1975_A_1993",NA,NA
"58",200046977,"69029","AB1660257","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE ROOSEVELT","204 av franklin roosevelt 69500 Bron","204 av franklin roosevelt","69500","Bron",NA,NA,NA,0,4.913706,45.731738,1988-03-09,"non","non","oui",NA,0,0,0,80,32,28,16,0,0,0,"DE_1975_A_1993",NA,NA
"59",200046977,"69384","AB1673201","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","26 RUE ROUSSY","26 r philibert roussy 69004 Lyon","26 r philibert roussy","69004","Lyon",NA,NA,NA,0,4.822403,45.775358,1953-09-03,"non","non","oui",NA,0,0,0,76,27,27,18,0,0,0,"DE_1949_A_1960",NA,NA
"60",200046977,"69389","AB1677830","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","MIMOSAS BOUQUET 2","2 r ernest fabregue 69009 Lyon","2 r ernest fabregue","69009","Lyon","2B r ernest fabregue 69009 Lyon","4 r ernest fabregue 69009 Lyon","6 r ernest fabregue 69009 Lyon",3,4.820127,45.796773,1971-06-04,"non","non","oui",NA,0,0,0,187,61,60,65,0,0,0,"DE_1961_A_1974",NA,NA
"61",200046977,"69266","AB1693340","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE VIA NOVA","16 r george sand 69100 Villeurbanne","16 r george sand","69100","Villeurbanne",NA,NA,NA,0,4.88652,45.75493,2004-11-29,"non","non","oui",NA,0,0,0,104,52,52,52,0,0,0,"DE_2001_A_2010",NA,NA
"62",200046977,"69386","AB1695329","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE NERANY","105 r de crequi 69006 Lyon","105 r de crequi","69006","Lyon",NA,NA,NA,0,4.84633,45.767905,1972-03-18,"non","non","oui",NA,0,0,0,69,21,16,23,0,0,0,"DE_1961_A_1974",NA,NA
"63",200046977,"69385","AB1699040","professionnel","REGIE COGESTRIM 41413553300027","41413553300027","6832A","LYON 1ER","Mandat en cours","LE PARC DE FLORE","39B r des aqueducs 69005 Lyon","39B r des aqueducs","69005","Lyon",NA,NA,NA,0,4.792853,45.757746,1987-09-02,"non","non","oui",NA,0,0,0,79,23,23,23,0,0,0,"DE_1975_A_1993",NA,NA
